id,old_holder_type,new_holder_type,old_sector,new_sector,old_sub_sector,new_sub_sector,changed,action
67,"""institution""","""institution""","""consumer-non-cyclicals""","""consumer-non-cyclicals""","""food-beverage""","""food-beverage""",False,skip
68,"""insider""","""insider""","""technology""","""technology""","""technology-hardware-equipment""","""technology-hardware-equipment""",False,skip
69,"""insider""","""insider""","""technology""","""technology""","""technology-hardware-equipment""","""technology-hardware-equipment""",False,skip
76,"""insider""","""insider""","""energy""","""energy""","""oil-gas-coal""","""oil-gas-coal""",False,skip
77,"""institution""","""institution""","""industrials""","""industrials""","""industrial-goods""","""industrial-goods""",False,skip
78,"""institution""","""institution""","""consumer-non-cyclicals""","""consumer-non-cyclicals""","""food-beverage""","""food-beverage""",False,skip
79,"""institution""","""institution""","""consumer-non-cyclicals""","""consumer-non-cyclicals""","""nondurable-household-products""","""nondurable-household-products""",False,skip
80,"""institution""","""institution""","""basic-materials""","""basic-materials""","""basic-materials""","""basic-materials""",False,skip
81,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""consumer-services""","""consumer-services""",False,skip
82,"""insider""","""insider""","""basic-materials""","""basic-materials""","""basic-materials""","""basic-materials""",False,skip
83,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""media-entertainment""","""media-entertainment""",False,skip
84,"""insider""","""insider""","""infrastructures""","""infrastructures""","""utilities""","""utilities""",False,skip
85,"""institution""","""institution""","""consumer-non-cyclicals""","""consumer-non-cyclicals""","""food-beverage""","""food-beverage""",False,skip
86,"""institution""","""institution""","""infrastructures""","""infrastructures""","""heavy-constructions-civil-engineering""","""heavy-constructions-civil-engineering""",False,skip
87,"""institution""","""institution""","""energy""","""energy""","""oil-gas-coal""","""oil-gas-coal""",False,skip
88,"""insider""","""insider""","""energy""","""energy""","""oil-gas-coal""","""oil-gas-coal""",False,skip
89,"""insider""","""insider""","""energy""","""energy""","""oil-gas-coal""","""oil-gas-coal""",False,skip
90,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""consumer-services""","""consumer-services""",False,skip
91,"""institution""","""institution""","""healthcare""","""healthcare""","""healthcare-equipment-providers""","""healthcare-equipment-providers""",False,skip
92,"""institution""","""institution""","""healthcare""","""healthcare""","""healthcare-equipment-providers""","""healthcare-equipment-providers""",False,skip
93,"""institution""","""institution""","""consumer-cyclicals""","""consumer-cyclicals""","""consumer-services""","""consumer-services""",False,skip
104,"""insider""","""insider""","""transportation-logistic""","""transportation-logistic""","""logistics-deliveries""","""logistics-deliveries""",False,skip
105,"""institution""","""institution""","""industrials""","""industrials""","""industrial-goods""","""industrial-goods""",False,skip
106,"""institution""","""institution""","""transportation-logistic""","""transportation-logistic""","""logistics-deliveries""","""logistics-deliveries""",False,skip
107,"""insider""","""insider""","""technology""","""technology""","""technology-hardware-equipment""","""technology-hardware-equipment""",False,skip
109,"""insider""","""insider""","""technology""","""technology""","""technology-hardware-equipment""","""technology-hardware-equipment""",False,skip
110,"""insider""","""insider""","""technology""","""technology""","""technology-hardware-equipment""","""technology-hardware-equipment""",False,skip
111,"""institution""","""institution""","""healthcare""","""healthcare""","""healthcare-equipment-providers""","""healthcare-equipment-providers""",False,skip
112,"""institution""","""institution""","""financials""","""financials""","""financing-service""","""financing-service""",False,skip
113,"""institution""","""institution""","""energy""","""energy""","""oil-gas-coal""","""oil-gas-coal""",False,skip
114,"""insider""","""insider""","""infrastructures""","""infrastructures""","""telecommunication""","""telecommunication""",False,skip
116,"""insider""","""insider""","""technology""","""technology""","""software-it-services""","""software-it-services""",False,skip
117,"""institution""","""institution""","""technology""","""technology""","""software-it-services""","""software-it-services""",False,skip
118,"""insider""","""insider""","""industrials""","""industrials""","""industrial-services""","""industrial-services""",False,skip
120,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""consumer-services""","""consumer-services""",False,skip
121,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""apparel-luxury-goods""","""apparel-luxury-goods""",False,skip
122,"""insider""","""insider""","""transportation-logistic""","""transportation-logistic""","""logistics-deliveries""","""logistics-deliveries""",False,skip
123,"""institution""","""institution""","""consumer-cyclicals""","""consumer-cyclicals""","""household-goods""","""household-goods""",False,skip
124,"""insider""","""insider""","""industrials""","""industrials""","""industrial-goods""","""industrial-goods""",False,skip
125,"""institution""","""institution""","""industrials""","""industrials""","""industrial-goods""","""industrial-goods""",False,skip
126,"""institution""","""institution""","""industrials""","""industrials""","""industrial-goods""","""industrial-goods""",False,skip
127,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""consumer-services""","""consumer-services""",False,skip
129,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""consumer-services""","""consumer-services""",False,skip
131,"""insider""","""insider""","""industrials""","""industrials""","""industrial-goods""","""industrial-goods""",False,skip
132,"""insider""","""insider""","""industrials""","""industrials""","""industrial-goods""","""industrial-goods""",False,skip
133,"""insider""","""insider""","""transportation-logistic""","""transportation-logistic""","""logistics-deliveries""","""logistics-deliveries""",False,skip
134,"""institution""","""institution""","""consumer-cyclicals""","""consumer-cyclicals""","""household-goods""","""household-goods""",False,skip
135,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""media-entertainment""","""media-entertainment""",False,skip
136,"""institution""","""institution""","""properties-real-estate""","""properties-real-estate""","""properties-real-estate""","""properties-real-estate""",False,skip
137,"""insider""","""insider""","""consumer-non-cyclicals""","""consumer-non-cyclicals""","""food-staples-retailing""","""food-staples-retailing""",False,skip
139,"""insider""","""insider""","""consumer-non-cyclicals""","""consumer-non-cyclicals""","""food-staples-retailing""","""food-staples-retailing""",False,skip
140,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""consumer-services""","""consumer-services""",False,skip
141,"""insider""","""insider""","""financials""","""financials""","""holding-investment-companies""","""holding-investment-companies""",False,skip
142,"""institution""","""institution""","""technology""","""technology""","""technology-hardware-equipment""","""technology-hardware-equipment""",False,skip
143,"""insider""","""insider""","""technology""","""technology""","""software-it-services""","""software-it-services""",False,skip
144,"""insider""","""insider""","""energy""","""energy""","""oil-gas-coal""","""oil-gas-coal""",False,skip
145,"""insider""","""insider""","""energy""","""energy""","""oil-gas-coal""","""oil-gas-coal""",False,skip
146,"""insider""","""insider""","""energy""","""energy""","""oil-gas-coal""","""oil-gas-coal""",False,skip
147,"""insider""","""insider""","""energy""","""energy""","""oil-gas-coal""","""oil-gas-coal""",False,skip
148,"""insider""","""insider""","""energy""","""energy""","""oil-gas-coal""","""oil-gas-coal""",False,skip
149,"""insider""","""insider""","""energy""","""energy""","""oil-gas-coal""","""oil-gas-coal""",False,skip
150,"""insider""","""insider""","""energy""","""energy""","""oil-gas-coal""","""oil-gas-coal""",False,skip
151,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""retailing""","""retailing""",False,skip
152,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""retailing""","""retailing""",False,skip
154,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""retailing""","""retailing""",False,skip
155,"""institution""","""institution""","""consumer-cyclicals""","""consumer-cyclicals""","""household-goods""","""household-goods""",False,skip
156,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""household-goods""","""household-goods""",False,skip
157,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""household-goods""","""household-goods""",False,skip
158,"""insider""","""insider""","""energy""","""energy""","""oil-gas-coal""","""oil-gas-coal""",False,skip
159,"""insider""","""insider""","""energy""","""energy""","""oil-gas-coal""","""oil-gas-coal""",False,skip
160,"""insider""","""insider""","""technology""","""technology""","""software-it-services""","""software-it-services""",False,skip
161,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""media-entertainment""","""media-entertainment""",False,skip
162,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""retailing""","""retailing""",False,skip
163,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""retailing""","""retailing""",False,skip
164,"""insider""","""insider""","""consumer-non-cyclicals""","""consumer-non-cyclicals""","""food-staples-retailing""","""food-staples-retailing""",False,skip
165,"""insider""","""insider""","""basic-materials""","""basic-materials""","""basic-materials""","""basic-materials""",False,skip
167,"""insider""","""insider""","""industrials""","""industrials""","""industrial-goods""","""industrial-goods""",False,skip
168,"""insider""","""insider""","""basic-materials""","""basic-materials""","""basic-materials""","""basic-materials""",False,skip
169,"""insider""","""insider""","""basic-materials""","""basic-materials""","""basic-materials""","""basic-materials""",False,skip
170,"""institution""","""institution""","""consumer-non-cyclicals""","""consumer-non-cyclicals""","""food-beverage""","""food-beverage""",False,skip
172,"""insider""","""insider""","""transportation-logistic""","""transportation-logistic""","""logistics-deliveries""","""logistics-deliveries""",False,skip
173,"""institution""","""institution""","""consumer-cyclicals""","""consumer-cyclicals""","""apparel-luxury-goods""","""apparel-luxury-goods""",False,skip
174,"""institution""","""institution""","""technology""","""technology""","""software-it-services""","""software-it-services""",False,skip
175,"""institution""","""institution""","""properties-real-estate""","""properties-real-estate""","""properties-real-estate""","""properties-real-estate""",False,skip
176,"""institution""","""institution""","""infrastructures""","""infrastructures""","""transportation-infrastructure""","""transportation-infrastructure""",False,skip
177,"""insider""","""insider""","""consumer-non-cyclicals""","""consumer-non-cyclicals""","""food-beverage""","""food-beverage""",False,skip
178,"""institution""","""institution""","""consumer-non-cyclicals""","""consumer-non-cyclicals""","""food-beverage""","""food-beverage""",False,skip
179,"""institution""","""institution""","""infrastructures""","""infrastructures""","""transportation-infrastructure""","""transportation-infrastructure""",False,skip
180,"""institution""","""institution""","""consumer-non-cyclicals""","""consumer-non-cyclicals""","""food-beverage""","""food-beverage""",False,skip
181,"""insider""","""insider""","""infrastructures""","""infrastructures""","""utilities""","""utilities""",False,skip
182,"""insider""","""insider""","""technology""","""technology""","""software-it-services""","""software-it-services""",False,skip
183,"""insider""","""insider""","""energy""","""energy""","""oil-gas-coal""","""oil-gas-coal""",False,skip
184,"""institution""","""institution""","""energy""","""energy""","""oil-gas-coal""","""oil-gas-coal""",False,skip
185,"""insider""","""insider""","""healthcare""","""healthcare""","""healthcare-equipment-providers""","""healthcare-equipment-providers""",False,skip
199,"""insider""","""insider""","""basic-materials""","""basic-materials""","""basic-materials""","""basic-materials""",False,skip
200,"""institution""","""institution""","""basic-materials""","""basic-materials""","""basic-materials""","""basic-materials""",False,skip
201,"""institution""","""institution""","""energy""","""energy""","""oil-gas-coal""","""oil-gas-coal""",False,skip
202,"""institution""","""institution""","""properties-real-estate""","""properties-real-estate""","""properties-real-estate""","""properties-real-estate""",False,skip
204,"""insider""","""insider""","""properties-real-estate""","""properties-real-estate""","""properties-real-estate""","""properties-real-estate""",False,skip
205,"""institution""","""institution""","""consumer-cyclicals""","""consumer-cyclicals""","""media-entertainment""","""media-entertainment""",False,skip
206,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""automobiles-components""","""automobiles-components""",False,skip
207,"""institution""","""institution""","""financials""","""financials""","""financing-service""","""financing-service""",False,skip
208,"""insider""","""insider""","""technology""","""technology""","""software-it-services""","""software-it-services""",False,skip
209,"""insider""","""insider""","""healthcare""","""healthcare""","""healthcare-equipment-providers""","""healthcare-equipment-providers""",False,skip
210,"""insider""","""insider""","""basic-materials""","""basic-materials""","""basic-materials""","""basic-materials""",False,skip
211,"""institution""","""institution""","""industrials""","""industrials""","""industrial-goods""","""industrial-goods""",False,skip
212,"""insider""","""insider""","""technology""","""technology""","""software-it-services""","""software-it-services""",False,skip
213,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""consumer-services""","""consumer-services""",False,skip
214,"""institution""","""institution""","""energy""","""energy""","""oil-gas-coal""","""oil-gas-coal""",False,skip
215,"""insider""","""insider""","""energy""","""energy""","""oil-gas-coal""","""oil-gas-coal""",False,skip
216,"""insider""","""insider""","""energy""","""energy""","""oil-gas-coal""","""oil-gas-coal""",False,skip
217,"""insider""","""insider""","""energy""","""energy""","""oil-gas-coal""","""oil-gas-coal""",False,skip
218,"""insider""","""insider""","""basic-materials""","""basic-materials""","""basic-materials""","""basic-materials""",False,skip
219,"""insider""","""insider""","""infrastructures""","""infrastructures""","""heavy-constructions-civil-engineering""","""heavy-constructions-civil-engineering""",False,skip
220,"""institution""","""institution""","""technology""","""technology""","""software-it-services""","""software-it-services""",False,skip
221,"""institution""","""institution""","""technology""","""technology""","""software-it-services""","""software-it-services""",False,skip
222,"""insider""","""insider""","""technology""","""technology""","""software-it-services""","""software-it-services""",False,skip
223,"""insider""","""insider""","""technology""","""technology""","""software-it-services""","""software-it-services""",False,skip
224,"""insider""","""insider""","""technology""","""technology""","""software-it-services""","""software-it-services""",False,skip
225,"""institution""","""institution""","""infrastructures""","""infrastructures""","""telecommunication""","""telecommunication""",False,skip
226,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""consumer-services""","""consumer-services""",False,skip
227,"""insider""","""insider""","""consumer-non-cyclicals""","""consumer-non-cyclicals""","""food-staples-retailing""","""food-staples-retailing""",False,skip
228,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""retailing""","""retailing""",False,skip
229,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""retailing""","""retailing""",False,skip
230,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""retailing""","""retailing""",False,skip
231,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""retailing""","""retailing""",False,skip
232,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""retailing""","""retailing""",False,skip
233,"""institution""","""institution""","""infrastructures""","""infrastructures""","""transportation-infrastructure""","""transportation-infrastructure""",False,skip
234,"""insider""","""insider""","""healthcare""","""healthcare""","""healthcare-equipment-providers""","""healthcare-equipment-providers""",False,skip
235,"""insider""","""insider""","""consumer-non-cyclicals""","""consumer-non-cyclicals""","""nondurable-household-products""","""nondurable-household-products""",False,skip
236,"""insider""","""insider""","""energy""","""energy""","""oil-gas-coal""","""oil-gas-coal""",False,skip
237,"""insider""","""insider""","""technology""","""technology""","""software-it-services""","""software-it-services""",False,skip
238,"""insider""","""insider""","""energy""","""energy""","""oil-gas-coal""","""oil-gas-coal""",False,skip
239,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""automobiles-components""","""automobiles-components""",False,skip
240,"""institution""","""institution""","""consumer-non-cyclicals""","""consumer-non-cyclicals""","""food-beverage""","""food-beverage""",False,skip
241,"""institution""","""institution""","""technology""","""technology""","""technology-hardware-equipment""","""technology-hardware-equipment""",False,skip
242,"""insider""","""insider""","""energy""","""energy""","""oil-gas-coal""","""oil-gas-coal""",False,skip
243,"""insider""","""insider""","""transportation-logistic""","""transportation-logistic""","""logistics-deliveries""","""logistics-deliveries""",False,skip
244,"""insider""","""insider""","""healthcare""","""healthcare""","""healthcare-equipment-providers""","""healthcare-equipment-providers""",False,skip
245,"""insider""","""insider""","""basic-materials""","""basic-materials""","""basic-materials""","""basic-materials""",False,skip
246,"""insider""","""insider""","""healthcare""","""healthcare""","""healthcare-equipment-providers""","""healthcare-equipment-providers""",False,skip
247,"""insider""","""insider""","""basic-materials""","""basic-materials""","""basic-materials""","""basic-materials""",False,skip
250,"""insider""","""insider""","""transportation-logistic""","""transportation-logistic""","""logistics-deliveries""","""logistics-deliveries""",False,skip
251,"""institution""","""institution""","""transportation-logistic""","""transportation-logistic""","""logistics-deliveries""","""logistics-deliveries""",False,skip
252,"""insider""","""insider""","""financials""","""financials""","""banks""","""banks""",False,skip
253,"""insider""","""insider""","""technology""","""technology""","""software-it-services""","""software-it-services""",False,skip
254,"""insider""","""insider""","""technology""","""technology""","""software-it-services""","""software-it-services""",False,skip
255,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""automobiles-components""","""automobiles-components""",False,skip
256,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""automobiles-components""","""automobiles-components""",False,skip
257,"""insider""","""insider""","""consumer-non-cyclicals""","""consumer-non-cyclicals""","""food-beverage""","""food-beverage""",False,skip
258,"""insider""","""insider""","""healthcare""","""healthcare""","""healthcare-equipment-providers""","""healthcare-equipment-providers""",False,skip
259,"""insider""","""insider""","""basic-materials""","""basic-materials""","""basic-materials""","""basic-materials""",False,skip
260,"""insider""","""insider""","""basic-materials""","""basic-materials""","""basic-materials""","""basic-materials""",False,skip
261,"""insider""","""insider""","""basic-materials""","""basic-materials""","""basic-materials""","""basic-materials""",False,skip
262,"""insider""","""insider""","""technology""","""technology""","""software-it-services""","""software-it-services""",False,skip
263,"""insider""","""insider""","""consumer-non-cyclicals""","""consumer-non-cyclicals""","""food-beverage""","""food-beverage""",False,skip
264,"""insider""","""insider""","""consumer-non-cyclicals""","""consumer-non-cyclicals""","""food-beverage""","""food-beverage""",False,skip
265,"""insider""","""insider""","""industrials""","""industrials""","""industrial-goods""","""industrial-goods""",False,skip
266,"""insider""","""insider""","""energy""","""energy""","""oil-gas-coal""","""oil-gas-coal""",False,skip
267,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""household-goods""","""household-goods""",False,skip
268,"""insider""","""insider""","""technology""","""technology""","""software-it-services""","""software-it-services""",False,skip
269,"""insider""","""insider""","""energy""","""energy""","""oil-gas-coal""","""oil-gas-coal""",False,skip
270,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""media-entertainment""","""media-entertainment""",False,skip
271,"""institution""","""institution""","""consumer-non-cyclicals""","""consumer-non-cyclicals""","""food-beverage""","""food-beverage""",False,skip
272,"""insider""","""insider""","""energy""","""energy""","""oil-gas-coal""","""oil-gas-coal""",False,skip
273,"""institution""","""institution""","""energy""","""energy""","""oil-gas-coal""","""oil-gas-coal""",False,skip
274,"""insider""","""insider""","""consumer-non-cyclicals""","""consumer-non-cyclicals""","""nondurable-household-products""","""nondurable-household-products""",False,skip
275,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""automobiles-components""","""automobiles-components""",False,skip
276,"""insider""","""insider""","""healthcare""","""healthcare""","""healthcare-equipment-providers""","""healthcare-equipment-providers""",False,skip
277,"""insider""","""insider""","""technology""","""technology""","""software-it-services""","""software-it-services""",False,skip
278,"""insider""","""insider""","""technology""","""technology""","""software-it-services""","""software-it-services""",False,skip
279,"""insider""","""insider""","""financials""","""financials""","""banks""","""banks""",False,skip
280,"""insider""","""insider""","""financials""","""financials""","""banks""","""banks""",False,skip
281,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""automobiles-components""","""automobiles-components""",False,skip
283,"""institution""","""institution""","""industrials""","""industrials""","""multi-sector-holdings""","""multi-sector-holdings""",False,skip
284,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""media-entertainment""","""media-entertainment""",False,skip
285,"""institution""","""institution""","""properties-real-estate""","""properties-real-estate""","""properties-real-estate""","""properties-real-estate""",False,skip
286,"""insider""","""insider""","""technology""","""technology""","""technology-hardware-equipment""","""technology-hardware-equipment""",False,skip
301,"""insider""","""insider""","""consumer-non-cyclicals""","""consumer-non-cyclicals""","""nondurable-household-products""","""nondurable-household-products""",False,skip
302,"""insider""","""insider""","""transportation-logistic""","""transportation-logistic""","""logistics-deliveries""","""logistics-deliveries""",False,skip
303,"""insider""","""insider""","""technology""","""technology""","""software-it-services""","""software-it-services""",False,skip
304,"""insider""","""insider""","""energy""","""energy""","""oil-gas-coal""","""oil-gas-coal""",False,skip
305,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""automobiles-components""","""automobiles-components""",False,skip
306,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""consumer-services""","""consumer-services""",False,skip
307,"""insider""","""insider""","""healthcare""","""healthcare""","""healthcare-equipment-providers""","""healthcare-equipment-providers""",False,skip
308,"""institution""","""institution""","""industrials""","""industrials""","""multi-sector-holdings""","""multi-sector-holdings""",False,skip
309,"""insider""","""insider""","""transportation-logistic""","""transportation-logistic""","""logistics-deliveries""","""logistics-deliveries""",False,skip
310,"""insider""","""insider""","""basic-materials""","""basic-materials""","""basic-materials""","""basic-materials""",False,skip
311,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""consumer-services""","""consumer-services""",False,skip
312,"""insider""","""insider""","""technology""","""technology""","""software-it-services""","""software-it-services""",False,skip
313,"""insider""","""insider""","""consumer-cyclicals""","""consumer-cyclicals""","""apparel-luxury-goods""","""apparel-luxury-goods""",False,skip
314,"""insider""","""insider""","""basic-materials""","""basic-materials""","""basic-materials""","""basic-materials""",False,skip
315,"""insider""","""insider""","""basic-materials""","""basic-materials""","""basic-materials""","""basic-materials""",False,skip
316,"""insider""","""insider""","""basic-materials""","""basic-materials""","""basic-materials""","""basic-materials""",False,skip
317,"""institution""","""institution""","""financials""","""financials""","""financing-service""","""financing-service""",False,skip
318,"""insider""","""insider""","""transportation-logistic""","""transportation-logistic""","""logistics-deliveries""","""logistics-deliveries""",False,skip
319,"""insider""","""insider""","""transportation-logistic""","""transportation-logistic""","""logistics-deliveries""","""logistics-deliveries""",False,skip
320,"""insider""","""insider""","""energy""","""energy""","""oil-gas-coal""","""oil-gas-coal""",False,skip
322,"""insider""","""insider""","""industrials""","""industrials""","""industrial-goods""","""industrial-goods""",False,skip
323,"""insider""","""insider""","""basic-materials""","""basic-materials""","""basic-materials""","""basic-materials""",False,skip
324,"""insider""","""insider""","""basic-materials""","""basic-materials""","""basic-materials""","""basic-materials""",False,skip
325,"""insider""","""insider""","""basic-materials""","""basic-materials""","""basic-materials""","""basic-materials""",False,skip
326,"""insider""","""insider""","""basic-materials""","""basic-materials""","""basic-materials""","""basic-materials""",False,skip
327,"""insider""","""insider""","""technology""","""technology""","""software-it-services""","""software-it-services""",False,skip
328,"""insider""","""insider""","""financials""","""financials""","""banks""","""banks""",False,skip
329,"""insider""","""insider""","""technology""","""technology""","""technology-hardware-equipment""","""technology-hardware-equipment""",False,skip
330,"""insider""","""insider""","""technology""","""technology""","""software-it-services""","""software-it-services""",False,skip
331,"""insider""","""insider""","""financials""","""financials""","""banks""","""banks""",False,skip
332,"""insider""","""insider""","""technology""","""technology""","""software-it-services""","""software-it-services""",False,skip
333,"""insider""","""insider""","""financials""","""financials""","""holding-investment-companies""","""holding-investment-companies""",False,skip
334,"""insider""","""insider""","""basic-materials""","""basic-materials""","""basic-materials""","""basic-materials""",False,skip
335,"""insider""","""insider""","""financials""","""financials""","""banks""","""banks""",False,skip
336,"""insider""","""insider""","""financials""","""financials""","""banks""","""banks""",False,skip
337,"""insider""","""insider""","""consumer-non-cyclicals""","""consumer-non-cyclicals""","""food-beverage""","""food-beverage""",False,skip
338,"""insider""","""insider""","""energy""","""energy""","""oil-gas-coal""","""oil-gas-coal""",False,skip
339,"""insider""","""insider""","""energy""","""energy""","""oil-gas-coal""","""oil-gas-coal""",False,skip
340,"""insider""","""insider""","""energy""","""energy""","""oil-gas-coal""","""oil-gas-coal""",False,skip
341,"""insider""","""insider""","""energy""","""energy""","""oil-gas-coal""","""oil-gas-coal""",False,skip
342,"""insider""","""insider""","""basic-materials""","""basic-materials""","""basic-materials""","""basic-materials""",False,skip
